source,pays,indicateur,code_indicateur,annee,valeur
World Bank,Senegal,Employment in industry (% total employment),SL.IND.EMPL.ZS,2008,16.693345953655
World Bank,Senegal,Employment in industry (% total employment),SL.IND.EMPL.ZS,2007,17.1649032375867
World Bank,Senegal,Employment in industry (% total employment),SL.IND.EMPL.ZS,2006,17.5316982556926
World Bank,Senegal,Employment in industry (% total employment),SL.IND.EMPL.ZS,2005,16.5423135006853
World Bank,Senegal,Employment in industry (% total employment),SL.IND.EMPL.ZS,2004,15.6356170418419
World Bank,Senegal,Employment in industry (% total employment),SL.IND.EMPL.ZS,2003,14.7114436650586
World Bank,Senegal,Employment in industry (% total employment),SL.IND.EMPL.ZS,2002,13.882266184657
World Bank,Senegal,Employment in industry (% total employment),SL.IND.EMPL.ZS,2001,13.189474886194
World Bank,Senegal,Employment in industry (% total employment),SL.IND.EMPL.ZS,2000,13.0809945048364
World Bank,Senegal,Gross fixed capital formation (annual % growth),NE.GDI.FTOT.KD.ZG,2025,5.83528438141208
World Bank,Senegal,Gross fixed capital formation (annual % growth),NE.GDI.FTOT.KD.ZG,2024,0.8595155840801
World Bank,Senegal,Gross fixed capital formation (annual % growth),NE.GDI.FTOT.KD.ZG,2023,9.27505245412137
World Bank,Senegal,Gross fixed capital formation (annual % growth),NE.GDI.FTOT.KD.ZG,2022,11.0391697228629
World Bank,Senegal,Gross fixed capital formation (annual % growth),NE.GDI.FTOT.KD.ZG,2021,15.770270886262
World Bank,Senegal,Gross fixed capital formation (annual % growth),NE.GDI.FTOT.KD.ZG,2020,7.19811639730239
World Bank,Senegal,Gross fixed capital formation (annual % growth),NE.GDI.FTOT.KD.ZG,2019,10.2500559596936
World Bank,Senegal,Gross fixed capital formation (annual % growth),NE.GDI.FTOT.KD.ZG,2018,13.7068968802762
World Bank,Senegal,Gross fixed capital formation (annual % growth),NE.GDI.FTOT.KD.ZG,2017,15.4344295607088
World Bank,Senegal,Gross fixed capital formation (annual % growth),NE.GDI.FTOT.KD.ZG,2016,15.2588732305969
World Bank,Senegal,Gross fixed capital formation (annual % growth),NE.GDI.FTOT.KD.ZG,2015,5.88163275087194
World Bank,Senegal,Gross fixed capital formation (annual % growth),NE.GDI.FTOT.KD.ZG,2014,18.0203609159932
World Bank,Senegal,Gross fixed capital formation (annual % growth),NE.GDI.FTOT.KD.ZG,2013,18.9127901554001
World Bank,Senegal,Gross fixed capital formation (annual % growth),NE.GDI.FTOT.KD.ZG,2012,5.56618357493717
World Bank,Senegal,Gross fixed capital formation (annual % growth),NE.GDI.FTOT.KD.ZG,2011,11.8177498237603
World Bank,Senegal,Gross fixed capital formation (annual % growth),NE.GDI.FTOT.KD.ZG,2010,-2.21783321776205
World Bank,Senegal,Gross fixed capital formation (annual % growth),NE.GDI.FTOT.KD.ZG,2009,-0.0536358554557381
World Bank,Senegal,Gross fixed capital formation (annual % growth),NE.GDI.FTOT.KD.ZG,2008,11.6798578070585
World Bank,Senegal,Gross fixed capital formation (annual % growth),NE.GDI.FTOT.KD.ZG,2007,5.10742555130987
World Bank,Senegal,Gross fixed capital formation (annual % growth),NE.GDI.FTOT.KD.ZG,2006,15.8633776596077
World Bank,Senegal,Gross fixed capital formation (annual % growth),NE.GDI.FTOT.KD.ZG,2005,4.08312768502554
World Bank,Senegal,Gross fixed capital formation (annual % growth),NE.GDI.FTOT.KD.ZG,2004,6.9782275658248
World Bank,Senegal,Gross fixed capital formation (annual % growth),NE.GDI.FTOT.KD.ZG,2003,5.32873759315322
World Bank,Senegal,Gross fixed capital formation (annual % growth),NE.GDI.FTOT.KD.ZG,2002,-2.02613488261277
World Bank,Senegal,Gross fixed capital formation (annual % growth),NE.GDI.FTOT.KD.ZG,2001,7.63110880456497
World Bank,Senegal,Gross fixed capital formation (annual % growth),NE.GDI.FTOT.KD.ZG,2000,1.47574948081758
World Bank,Senegal,"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS,2025,25.26300568767
World Bank,Senegal,"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS,2024,25.2834981283309
World Bank,Senegal,"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS,2023,28.4639297538995
World Bank,Senegal,"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS,2022,29.1115883287431
World Bank,Senegal,"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS,2021,25.7188413184934
World Bank,Senegal,"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS,2020,22.8702807905707
World Bank,Senegal,"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS,2019,22.9603755187087
World Bank,Senegal,"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS,2018,20.1259181205116
World Bank,Senegal,"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS,2017,17.0316232336307
World Bank,Senegal,"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS,2016,15.7849285800126
World Bank,Senegal,"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS,2015,16.9887473652658
World Bank,Senegal,"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS,2014,17.3108158443153
World Bank,Senegal,"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS,2013,16.195823668485
World Bank,Senegal,"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS,2012,14.5703475242752
World Bank,Senegal,"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS,2011,14.9981232847786
World Bank,Senegal,"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS,2010,12.0351772111522
World Bank,Senegal,"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS,2009,13.699851376312
World Bank,Senegal,"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS,2008,16.4854318972892
World Bank,Senegal,"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS,2007,14.7253162916495
World Bank,Senegal,"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS,2006,14.9296641116207
World Bank,Senegal,"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS,2005,13.135533224716
World Bank,Senegal,"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS,2004,12.2421628118996
World Bank,Senegal,"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS,2003,12.6966537881532
World Bank,Senegal,"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS,2002,15.6718253784384
World Bank,Senegal,"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS,2001,14.7855865002897
World Bank,Senegal,"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS,2000,15.36173057645
World Bank,Senegal,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,2025,
